"Cálculo 3","Martes 11:00 3"
"Circuitos Eléctricos","Jueves 8:00 2 Viernes 8:00 2"
"Fundamentos de Bases de Datos","Lunes 7:00 2 Miercoles 7:00 2"
"Investigación de Operaciones","Lunes 12:00 2 Miercoles 9:00 2"
"Lenguaje Ensamblador","Miercoles 11:00 2"
"Programación Orientada a Objetos","Lunes 9:00 3 Jueves 10:00 2"
"Transmisión de Datos","Martes 9:00 2 Viernes 11:00 3"
"Cálculo 3","Lunes 17:00 3"

"Circuitos Eléctricos","Miercoles 16:00 2 Viernes 16:00 3"
"Fundamentos de Bases de Datos","Martes 16:00 2 Jueves 15:00 2"
"Investigación de Operaciones","Miercoles 14:00 2 Viernes 14:00 2"
"Lenguaje Ensamblador","Miercoles 18:00 2"
"Programación Orientada a Objetos","Martes 18:00 2 Jueves 17:00 3"
"Transmisión de Datos","Lunes 14:00 3 Miercoles 14:00 2"
"Inglés 5","Lunes 9:00 2 Miercoles 9:00 2"
"Inglés 5","Martes 18:00 2 Jueves 16:00 2"
"Física Básica","Miercoles 11:00 2 Jueves 11:00 2"
"Física Básica","Miercoles 14:00 2 Viernes 14:00 2"
